"Title:","'ge-22/0/4-Alamosa Zayo Fiber(1Gb) ETYX/123244//ZYO'"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-26 12:01:00"
"End Date:","2018-02-27 12:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","2160"
"Host ID:","26"
""
"Date","In","Out"
"2018-02-26 13:38:00","4.7960736828e+07","3.0949712789e+08"
"2018-02-26 13:39:00","4.6241444295e+07","2.9424928335e+08"
"2018-02-26 13:40:00","4.5311193333e+07","2.9448326652e+08"
"2018-02-26 13:41:00","4.7561241849e+07","3.2503995756e+08"
"2018-02-26 13:42:00","4.9422211173e+07","3.5139732838e+08"
"2018-02-26 13:43:00","4.7311437929e+07","3.2643724294e+08"
"2018-02-26 13:44:00","4.7844105558e+07","3.2692532064e+08"
"2018-02-26 13:45:00","4.7802103089e+07","3.5780652103e+08"
"2018-02-26 13:46:00","4.5937550680e+07","3.5362467890e+08"
"2018-02-26 13:47:00","4.4429382520e+07","3.1184214191e+08"
"2018-02-26 13:48:00","4.5785607880e+07","3.2312890875e+08"
"2018-02-26 13:49:00","4.5857567018e+07","3.2358444044e+08"
"2018-02-26 13:50:00","4.6006505302e+07","3.5846275316e+08"
"2018-02-26 13:51:00","4.6418997162e+07","3.3229862591e+08"
"2018-02-26 13:52:00","4.4956461275e+07","3.1589462070e+08"
"2018-02-26 13:53:00","4.4129349701e+07","3.1119521744e+08"
"2018-02-26 13:54:00","4.8153708215e+07","3.4197550208e+08"
"2018-02-26 13:55:00","4.2487869209e+07","3.0753267917e+08"
"2018-02-26 13:56:00","4.7931435980e+07","3.1298502096e+08"
"2018-02-26 13:57:00","4.6497496967e+07","3.1316173607e+08"
"2018-02-26 13:58:00","4.7967324753e+07","3.2619475681e+08"
"2018-02-26 13:59:00","4.6916401671e+07","3.2438696594e+08"
"2018-02-26 14:00:00","4.8013488391e+07","3.3413990097e+08"
"2018-02-26 14:01:00","4.7238591320e+07","3.0737882795e+08"
"2018-02-26 14:02:00","4.7316776784e+07","3.1313293390e+08"
"2018-02-26 14:03:00","4.7552879922e+07","3.4153588466e+08"
"2018-02-26 14:04:00","4.4913413375e+07","3.1725927194e+08"
"2018-02-26 14:05:00","4.5398682923e+07","3.0204640684e+08"
"2018-02-26 14:06:00","4.6005038904e+07","3.4744966044e+08"
"2018-02-26 14:07:00","4.7014520984e+07","3.4075831151e+08"
"2018-02-26 14:08:00","4.4265205916e+07","3.2210514296e+08"
"2018-02-26 14:09:00","4.5809293432e+07","3.2553282322e+08"
"2018-02-26 14:10:00","4.6587478538e+07","3.0746959132e+08"
"2018-02-26 14:11:00","4.4295785006e+07","3.3487861968e+08"
"2018-02-26 14:12:00","5.2127718894e+07","3.5321825870e+08"
"2018-02-26 14:13:00","4.8021154443e+07","3.4249688236e+08"
"2018-02-26 14:14:00","4.5641808899e+07","3.3073623040e+08"
"2018-02-26 14:15:00","4.8285557110e+07","3.4034585860e+08"
